FACEBOOK,FB,151,NASDAQ,TECH
TRAVELERS COS.,TRV,130,NYSE,FINANCIALS
CAPITAL ONE FINANCIAL,COF,91,NYSE,FINANCIALS
TWENTY-FIRST CENTURY FOX,FOXA,47,NASDAQ,MEDIA
USAA,PVT-5,0,PRIVATE,FINANCIALS
WORLD FUEL SERVICES,INT,31,NYSE,ENERGY
PHILIP MORRIS INTERNATIONAL,PM,90,NYSE,FOOD BEVERAGE
DEERE,DE,148,NYSE,INDUSTRIALS
KRAFT HEINZ,KHC,54,NASDAQ,FOOD BEVERAGE
TECH DATA,TECD,75,NASDAQ,WHOLESALERS
AVNET,AVT,44,NASDAQ,WHOLESALERS
MONDELEZ INTERNATIONAL,MDLZ,43,NASDAQ,FOOD BEVERAGE
MACY'S,M,37,NYSE,RETAILING
ABBVIE,ABBV,87,NYSE,HEALTH
MCDONALD'S,MCD,185,NYSE,"HOTELS, RESTAURANTS & LEISURE"
DUPONT,DD,84,NYSE,CHEMICALS
NORTHROP GRUMMAN,NOC,285,NYSE,AEROSPACE & DEFENSE
SPLINTER INC,CPS,1000,NYSE,TECH
CONOCOPHILLIPS,COP,70,NYSE,ENERGY
RAYTHEON,RTN,187,NYSE,AEROSPACE & DEFENSE
ANDEAVOR,TSO,105,NYSE,ENERGY
ARROW ELECTRONICS,ARW,75,NYSE,WHOLESALERS
QUALCOMM,QCOM,63,NASDAQ,TECH
PROGRESSIVE,PGR,73,NYSE,FINANCIALS
DUKE ENERGY,DUK,84,NYSE,ENERGY
ENTERPRISE PRODUCTS PARTNERS,EPD,27,NYSE,ENERGY
AMGEN,AMGN,197,NASDAQ,HEALTH
US FOODS HOLDING,USFD,32,NYSE,WHOLESALERS
U.S. BANCORP,USB,52,NYSE,FINANCIALS
AFLAC,AFL,45,NYSE,FINANCIALS
SEARS HOLDINGS,SHLD,1,OTCMKTS,RETAILING
DOLLAR GENERAL,DG,116,NYSE,RETAILING
AUTONATION,AN,39,NYSE,RETAILING
COMMUNITY HEALTH SYSTEMS,CYH,4,NYSE,HEALTH
STARBUCKS,SBUX,68,NASDAQ,"HOTELS, RESTAURANTS & LEISURE"
ELI LILLY,LLY,109,NYSE,HEALTH
INTERNATIONAL PAPER,IP,47,NYSE,MATERIALS
TENET HEALTHCARE,THC,27,NYSE,HEALTH
ABBOTT LABORATORIES,ABT,73,NYSE,HEALTH
